Block Size,Number of Threads,Wall Time
1024,1,1.563633
1024,2,2.757615
1024,3,3.462540
1024,4,4.201224
1024,5,7.803993
1024,6,10.269355
1024,7,12.987174
1024,8,14.394370
1024,9,13.130158
1024,10,13.904828
2048,1,1.100765
2048,2,1.800091
2048,3,2.163245
2048,4,2.391957
2048,5,3.493152
2048,6,4.596871
2048,7,5.231449
2048,8,6.347835
2048,9,7.041426
2048,10,7.391914
4096,1,0.923864
4096,2,1.272285
4096,3,1.416498
4096,4,1.510495
4096,5,2.232449
4096,6,2.910699
4096,7,3.512339
4096,8,3.716533
4096,9,3.744217
4096,10,3.623534
8192,1,0.858272
8192,2,1.007303
8192,3,1.066853
8192,4,1.114696
8192,5,1.492461
8192,6,1.798586
8192,7,2.108002
8192,8,2.233361
8192,9,2.333280
8192,10,2.295470
16384,1,0.785158
16384,2,0.859120
16384,3,0.903082
16384,4,0.907013
16384,5,1.133166
16384,6,1.353365
16384,7,1.505536
16384,8,1.611708
16384,9,1.617805
16384,10,1.681487
32768,1,0.747121
32768,2,0.796030
32768,3,0.826366
32768,4,0.848593
32768,5,1.005117
32768,6,1.192828
32768,7,1.301977
32768,8,1.387278
32768,9,1.247205
32768,10,1.424747
65536,1,0.743263
65536,2,0.783104
65536,3,0.815461
65536,4,0.832146
65536,5,0.993207
65536,6,1.106849
65536,7,1.212291
65536,8,1.248778
65536,9,1.302397
65536,10,1.297698
131072,1,0.751049
131072,2,0.780755
131072,3,0.807828
131072,4,0.814053
131072,5,0.951550
131072,6,1.060254
131072,7,1.177786
131072,8,1.194013
131072,9,1.218290
131072,10,1.261856
262144,1,0.738505
262144,2,0.772056
262144,3,0.783693
262144,4,0.790736
262144,5,0.915580
262144,6,1.041947
262144,7,1.124458
262144,8,1.137370
262144,9,1.163650
262144,10,1.203035
524288,1,0.739271
524288,2,0.751066
524288,3,0.781963
524288,4,0.787749
524288,5,0.919516
524288,6,1.030048
524288,7,1.124664
524288,8,1.189453
524288,9,1.222460
524288,10,1.235546
