Type,File Size,Wall Time,Speed (B/s),Speed (MiB/s)
READ,281873817,79.302903,3554394.685904,3.389735
LSEEK,281873817,39.992212,7048217.712989,6.721704
READ,563747634,159.244219,3540145.052299,3.376145
LSEEK,563747634,80.146826,7033935.866656,6.708084
READ,845621451,239.079816,3536983.862327,3.373131
LSEEK,845621451,121.288424,6971988.118174,6.649006
READ,1127495268,318.199525,3543359.368623,3.379211
LSEEK,1127495268,159.818650,7054841.647079,6.728021
READ,1409369085,397.529714,3545317.583480,3.381078
LSEEK,1409369085,198.619846,7095811.991517,6.767094
READ,1691242902,473.444248,3572211.319800,3.406726
LSEEK,1691242902,239.251300,7068897.439638,6.741426
READ,1973116719,557.055597,3542046.304940,3.377959
LSEEK,1973116719,279.929652,7048616.339508,6.722084
READ,2254990536,635.757722,3546933.773618,3.382620
LSEEK,2254990536,319.885830,7049360.504653,6.722794
READ,2536864353,715.130166,3547416.223804,3.383080
LSEEK,2536864353,357.659686,7092955.824493,6.764370
READ,2818738170,794.535839,3547653.902620,3.383306
LSEEK,2818738170,398.003321,7082197.613120,6.754110
