Block Size,Number of Threads,Wall Time, Speed
8192,1,0.319171,8422.313441
8192,2,0.466983,5756.436965
8192,3,0.553628,4855.531518
8192,4,0.664182,4047.321673
8192,5,1.067215,2518.853467
8192,6,1.466240,1833.368482
8192,7,1.717106,1565.516749
8192,8,1.849145,1453.730347
8192,9,1.848137,1454.523232
8192,10,1.914820,1403.869922
16384,1,0.242366,11091.317277
16384,2,0.310555,8655.981076
16384,3,0.369964,7265.999403
16384,4,0.428534,6272.916975
16384,5,0.619662,4338.104004
16384,6,0.855765,3141.234104
16384,7,0.910755,2951.571172
16384,8,0.910587,2952.115727
16384,9,0.927072,2899.621823
16384,10,1.031616,2605.774051
32768,1,0.216595,12410.989188
32768,2,0.284154,9460.215950
32768,3,0.342722,7843.553093
32768,4,0.398691,6742.460209
32768,5,0.469357,5727.321001
32768,6,0.552642,4864.194548
32768,7,0.652545,4119.498583
32768,8,0.645653,4163.472025
32768,9,0.611474,4396.193793
32768,10,0.722525,3720.505454
65536,1,0.226586,11863.743581
65536,2,0.286015,9398.661620
65536,3,0.310042,8670.303388
65536,4,0.357856,7511.843320
65536,5,0.424448,6333.303969
65536,6,0.507982,5291.837512
65536,7,0.550334,4884.594089
65536,8,0.558019,4817.323788
65536,9,0.540367,4974.689800
65536,10,0.589115,4563.044912
131072,1,0.215411,12479.205812
131072,2,0.260070,10336.287165
131072,3,0.307668,8737.204399
131072,4,0.349634,7688.491975
131072,5,0.409515,6564.248448
131072,6,0.460848,5833.069045
131072,7,0.495235,5428.045682
131072,8,0.509091,5280.309813
131072,9,0.485086,5541.611597
131072,10,0.538973,4987.556340
262144,1,0.207323,12966.039480
262144,2,0.249940,10755.214064
262144,3,0.305687,8793.825721
262144,4,0.335742,8006.618782
262144,5,0.396102,6786.530245
262144,6,0.427954,6281.418571
262144,7,0.475260,5656.184411
262144,8,0.487339,5515.992365
262144,9,0.479741,5603.353066
262144,10,0.523338,5136.562228
524288,1,0.206359,13026.609952
524288,2,0.244805,10980.814130
524288,3,0.297948,9022.239462
524288,4,0.336050,7999.280474
524288,5,0.397076,6769.883355
524288,6,0.471981,5695.479698
524288,7,0.511180,5258.731177
524288,8,0.540268,4975.601374
524288,9,0.551203,4876.893274
524288,10,0.554324,4849.434993
